Hessian unlearning summary across seeds:
  confidence_drop_recall: mean=1.0000, variance=0.000000
  confidence_drop_overlap: mean=1.0000, variance=0.000000
  hybrid_precision: mean=0.8000, variance=0.016000
  hybrid_recall: mean=0.8000, variance=0.016000
  hybrid_overlap: mean=0.8000, variance=0.016000
  ulia_known_k_precision: mean=0.8000, variance=0.016000
  ulia_known_k_recall: mean=0.8000, variance=0.016000
  ulia_known_k_overlap: mean=0.8000, variance=0.016000
  ulia_dynamic_precision: mean=0.8000, variance=0.016000
  ulia_dynamic_recall: mean=0.8000, variance=0.016000
  ulia_dynamic_overlap: mean=0.8000, variance=0.016000
  before_exclusive_strength_ratio: mean=1.0000, variance=0.000000
  target_label_feature_coverage: mean=0.7200, variance=0.041600
  clip_concept_coverage: mean=0.4000, variance=0.032000
  clip_concept_precision: mean=0.0667, variance=0.000889
  clip_weighted_coverage: mean=0.3720, variance=0.027371
  feature_overlap@1: mean=0.4000, variance=0.240000
  feature_overlap@5: mean=0.4400, variance=0.102400
  feature_overlap@10: mean=0.5200, variance=0.005600
