

Hessian unlearning summary across seeds:
  feature_vote_recall: mean=0.4400, variance=0.054400
  feature_vote_overlap: mean=0.4400, variance=0.054400
  delta_z_precision: mean=0.6800, variance=0.025600
  delta_z_recall: mean=0.6800, variance=0.025600
  delta_z_overlap: mean=0.6800, variance=0.025600
  confidence_drop_precision: mean=0.8000, variance=0.000000
  confidence_drop_recall: mean=0.8000, variance=0.000000
  confidence_drop_overlap: mean=0.8000, variance=0.000000
  hybrid_precision: mean=0.6400, variance=0.022400
  hybrid_recall: mean=0.6400, variance=0.022400
  hybrid_overlap: mean=0.6400, variance=0.022400
  ulia_known_k_precision: mean=0.6000, variance=0.000000
  ulia_known_k_recall: mean=0.6000, variance=0.000000
  ulia_known_k_overlap: mean=0.6000, variance=0.000000
  ulia_dynamic_precision: mean=1.0000, variance=0.000000
  ulia_dynamic_recall: mean=0.2800, variance=0.009600
  ulia_dynamic_overlap: mean=0.2800, variance=0.009600
  before_exclusive_strength_ratio: mean=0.4030, variance=0.034017
  target_label_feature_coverage: mean=0.9600, variance=0.006400
  clip_concept_coverage: mean=0.8000, variance=0.064000
  clip_concept_precision: mean=0.5844, variance=0.003585
  clip_weighted_coverage: mean=0.7302, variance=0.048602
  feature_overlap@1: mean=0.2000, variance=0.160000
  feature_overlap@5: mean=0.6000, variance=0.032000
  feature_overlap@10: mean=0.6600, variance=0.002400



FL retraining summary across seeds:
Ratio: 0.01
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8766, variance=0.000003
  mia_acc_before: mean=0.5847, variance=0.000045
  mia_acc_after: mean=0.5834, variance=0.000033
  feature_vote_precision: mean=0.4067, variance=0.050844
  feature_vote_recall: mean=0.3600, variance=0.054400
  feature_vote_overlap: mean=0.3600, variance=0.054400
  delta_z_precision: mean=0.6400, variance=0.006400
  delta_z_recall: mean=0.6400, variance=0.006400
  delta_z_overlap: mean=0.6400, variance=0.006400
  confidence_drop_precision: mean=0.6000, variance=0.000000
  confidence_drop_recall: mean=0.6000, variance=0.000000
  confidence_drop_overlap: mean=0.6000, variance=0.000000
  hybrid_precision: mean=0.5600, variance=0.006400
  hybrid_recall: mean=0.5600, variance=0.006400
  hybrid_overlap: mean=0.5600, variance=0.006400
  ulia_known_k_precision: mean=0.5600, variance=0.022400
  ulia_known_k_recall: mean=0.5600, variance=0.022400
  ulia_known_k_overlap: mean=0.5600, variance=0.022400
  ulia_dynamic_precision: mean=0.2000, variance=0.060000
  ulia_dynamic_recall: mean=0.0800, variance=0.009600
  ulia_dynamic_overlap: mean=0.0800, variance=0.009600
  before_exclusive_strength_ratio: mean=0.1820, variance=0.023006
  target_label_feature_coverage: mean=0.7600, variance=0.006400
  clip_concept_coverage: mean=0.4800, variance=0.073600
  clip_concept_precision: mean=0.4944, variance=0.063086
  clip_weighted_coverage: mean=0.4120, variance=0.058378
  feature_overlap@1: mean=0.6000, variance=0.240000
  feature_overlap@5: mean=0.7200, variance=0.009600
  feature_overlap@10: mean=0.9200, variance=0.005600


FL retraining summary across seeds:
Ratio: 0.02
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.7206, variance=0.096295
  mia_acc_before: mean=0.5862, variance=0.000037
  mia_acc_after: mean=0.5691, variance=0.001211
  feature_vote_precision: mean=0.3200, variance=0.069600
  feature_vote_recall: mean=0.2400, variance=0.054400
  feature_vote_overlap: mean=0.2400, variance=0.054400
  delta_z_precision: mean=0.6400, variance=0.038400
  delta_z_recall: mean=0.6400, variance=0.038400
  delta_z_overlap: mean=0.6400, variance=0.038400
  confidence_drop_precision: mean=0.6800, variance=0.041600
  confidence_drop_recall: mean=0.6800, variance=0.041600
  confidence_drop_overlap: mean=0.6800, variance=0.041600
  hybrid_precision: mean=0.7200, variance=0.025600
  hybrid_recall: mean=0.7200, variance=0.025600
  hybrid_overlap: mean=0.7200, variance=0.025600
  ulia_known_k_precision: mean=0.6800, variance=0.041600
  ulia_known_k_recall: mean=0.6800, variance=0.041600
  ulia_known_k_overlap: mean=0.6800, variance=0.041600
  ulia_dynamic_precision: mean=0.4000, variance=0.140000
  ulia_dynamic_recall: mean=0.1200, variance=0.009600
  ulia_dynamic_overlap: mean=0.1200, variance=0.009600
  before_exclusive_strength_ratio: mean=0.1541, variance=0.011587
  target_label_feature_coverage: mean=0.7200, variance=0.041600
  clip_concept_coverage: mean=0.3600, variance=0.054400
  clip_concept_precision: mean=0.4333, variance=0.062222
  clip_weighted_coverage: mean=0.3183, variance=0.046550
  feature_overlap@1: mean=0.6000, variance=0.240000
  feature_overlap@5: mean=0.7200, variance=0.073600
  feature_overlap@10: mean=0.9400, variance=0.002400



FL retraining summary across seeds:
Ratio: 0.03
  acc_before: mean=0.8673, variance=0.000000
